team,ground,postcode,county_fa,latitude,longitude
AFC Bournemouth,Vitality Stadium,BH7 7AF,Hampshire,50.735313,-1.839234
Arsenal,Emirates Stadium,N5 1BU,London,51.556667,-0.106371
Aston Villa,Villa Park,B6 6HE,Birmingham,52.508486,-1.884946
Brentford,Brentford Community Stadium,TW8 9BW,London,51.491117,-0.290548
Brighton & Hove Albion,Amex Stadium,BN1 9BL,Sussex,50.860916,-0.08428
Chelsea,Stamford Bridge,SW6 1HS,Surrey,51.481124,-0.190297
Crystal Palace,Selhurst Park,SE25 6PU,Surrey,51.397894,-0.085923
Everton,Goodison Park,L4 4EL,Lancashire,53.439197,-2.967017
Fulham,Craven Cottage,SW6 6HH,London,51.47452,-0.22061
Leeds United,Elland Road,LS11 0ES,West Riding,53.777714,-1.573104
Leicester City,King Power Stadium,LE2 7FL,Leicestershire & Rutland,52.620044,-1.1415
Liverpool,Anfield,L4 0TH,Lancashire,53.431267,-2.961584
Manchester City,Etihad Stadium,M11 3FF,Manchester,53.484206,-2.202812
Manchester United,Old Trafford,M16 0RA,Manchester,53.462559,-2.291032
Newcastle United,St. James' Park,NE1 4ST,Northumberland,54.975219,-1.622324
Nottingham Forest,The City Ground,NG2 5FJ,Nottinghamshire,52.939444,-1.133199
Southampton,St. Mary's Stadium,SO14 5FP,Hampshire,50.90653,-1.390823
Tottenham Hotspur,Tottenham Hotspur Stadium,N17 0BX,London,51.6042,-0.067574
West Ham United,London Stadium,E20 2ST,London,51.538636,-0.016403
Wolverhampton Wanderers,Molineux Stadium,WV1 4QR,Birmingham,52.590195,-2.131226
Birmingham City,St. Andrew's Stadium,B9 4RL,Birmingham,52.474922,-1.864112
Blackburn Rovers,Ewood Park,BB2 4JF,Lancashire,53.728618,-2.489965
Blackpool,Bloomfield Road,FY1 6JJ,Lancashire,53.805489,-3.04853
Bristol City,Ashton Gate Stadium,BS3 2EJ,Gloucestershire,51.440713,-2.620602
Burnley,Turf Moor,BB10 4BX,Lancashire,53.78847,-2.230325
Cardiff City,Cardiff City Stadium,CF11 8AZ,Wales,51.47332,-3.206425
Coventry City,Coventry Building Society Arena,CV6 6GE,Birmingham,52.448773,-1.496282
Huddersfield Town,The John Smith's Stadium,HD1 6PX,West Riding,53.654016,-1.773209
Hull City,MKM Stadium,HU3 6HU,East Riding,53.745731,-0.368016
Luton Town,Kenilworth Stadium,LU4 8AW,Bedfordshire,51.884014,-0.43236
Middlesbrough,Riverside Stadium,TS3 6RS,North Riding,54.578124,-1.217764
Millwall,The Den,SE16 3LN,London,51.486671,-0.051053
Norwich City,Carrow Road,NR1 1JE,Norfolk,52.62238,1.308603
Preston North End,Deepdale,PR1 6RU,Lancashire,53.772236,-2.689327
Queens Park Rangers,Loftus Road Stadium,W12 7PA,London,51.51023,-0.23082
Reading,The Select Car Leasing Stadium,RG2 0FL,Berkshire & Buckinghamshire,51.422325,-0.983497
Rotherham United,AESSEAL New York Stadium,S60 1FJ,Sheffield & Hallamshire,53.426838,-1.361705
Sheffield United,Bramall Lane,S2 4SU,Sheffield & Hallamshire,53.36986,-1.470512
Stoke City,bet365 Stadium,ST4 4EG,Staffordshire,52.988255,-2.176078
Sunderland,Stadium of Light,SR5 1SU,Durham,54.914063,-1.3893
Swansea City,Swansea.com Stadium,SA1 2FA,Wales,51.642156,-3.935119
Watford,Vicarage Road Stadium,WD18 0ER,Hertfordshire,51.649275,-0.400727
West Bromwich Albion,The Hawthorns,B71 4LF,Birmingham,52.509003,-1.963299
Wigan Athletic,DW Stadium,WN5 0UH,Lancashire,53.543987,-2.653787
Accrington Stanley,Wham Stadium,BB5 5BX,Lancashire,53.764175,-2.370435
Barnsley,Oakwell Stadium,S71 1ET,Sheffield & Hallamshire,53.552266,-1.468631
Bolton Wanderers,University of Bolton Stadium,BL6 6JW,Lancashire,53.580169,-2.536279
Bristol Rovers,Memorial Stadium,BS7 0AQ,Gloucestershire,51.487415,-2.583805
Burton Albion,Pirelli Stadium,DE13 0AR,Birmingham,52.821462,-1.627002
Cambridge United,Abbey Stadium,CB5 8LN,Cambridgeshire,52.212845,0.154021
Charlton Athletic,The Valley,SE7 8BL,London,51.486242,0.037152
Cheltenham Town,The Completely Suzuki Stadium,GL52 5NA,Gloucestershire,51.905576,-2.062093
Derby County,Pride Park Stadium,DE24 8XL,Derbyshire,52.914633,-1.447968
Exeter City,St. James' Park,EX4 6PX,Devon,50.730109,-3.520741
Fleetwood Town,Highbury Stadium,FY7 6TX,Lancashire,53.916823,-3.022953
Forest Green Rovers,The New Lawn,GL6 0ET,Gloucestershire,51.699677,-2.236181
Ipswich Town,Portman Road,IP1 2DA,Suffolk,52.054732,1.144614
Lincoln City,LNER Stadium,LN5 8LD,Lincolnshire,53.218176,-0.540056
Milton Keynes Dons,Stadium MK,MK1 1ST,Berkshire & Buckinghamshire,52.010801,-0.734859
Morecambe,The Mazuma,LA4 4TB,Lancashire,54.06105,-2.867232
Oxford United,Kassam Stadium,OX4 4XP,Oxfordshire,51.717066,-1.210957
Peterborough United,Weston Homes Stadium,PE2 8AL,Northamptonshire,52.565257,-0.240279
Plymouth Argyle,Home Park,PL2 3DQ,Devon,50.387394,-4.1517
Portsmouth,Fratton Park,PO4 8RA,Hampshire,50.795923,-1.064882
Port Vale,Vale Park,ST6 1AW,Staffordshire,53.050408,-2.191697
Sheffield Wednesday,Hillsborough Stadium,S6 1SW,Sheffield & Hallamshire,53.410844,-1.500859
Shrewsbury Town,Montgomery Waters Meadow,SY2 6ST,Shropshire,52.688426,-2.748485
Wycombe Wanderers,Adams Park,HP12 4HJ,Berkshire & Buckinghamshire,51.631583,-0.795977
AFC Wimbledon,Cherry Red Records Stadium,SW17 0NR,Surrey,51.431274,-0.186585
Barrow,The Dunes Hotel Stadium,LA14 5UW,Lancashire,54.123653,-3.235026
Bradford City,University of Bradford Stadium,BD8 7DY,West Riding,53.803578,-1.759482
Carlisle United,Brunton Park,CA1 1LL,Cumberland,54.895816,-2.914475
Colchester United,JobServe Community Stadium,CO4 5UP,Essex,51.923322,0.896991
Crawley Town,Broadfield Stadium,RH11 9RX,Sussex,51.099568,-0.195395
Crewe Alexandra,Mornflake Stadium,CW2 6EB,Cheshire,53.087931,-2.436102
Doncaster Rovers,The Eco-Power Stadium,DN4 5JW,Sheffield & Hallamshire,53.509088,-1.113845
Gillingham,MEMS Priestfield Stadium,ME7 4DD,Kent,51.384873,0.55976
Grimsby Town,Blundell Park,DN35 7PY,Lincolnshire,53.570821,-0.046658
Harrogate Town,The EnviroVent Stadium,HG2 7SA,West Riding,53.991495,-1.517051
Hartlepool United,The Suit Direct Stadium,TS24 8BZ,Durham,54.689582,-1.213621
Leyton Orient,Breyer Group Stadium,E10 5NF,London,51.560212,-0.011886
Mansfield Town,One Call Stadium,NG18 5DA,Nottinghamshire,53.137436,-1.200135
Newport County,Rodney Parade,NP19 0UU,Wales,51.589577,-2.99125
Northampton Town,Sixfields Stadium,NN5 5QA,Northamptonshire,52.23506,-0.934214
Rochdale,Crown Oil Arena,OL11 5DR,Lancashire,53.619122,-2.180012
Salford City,The Peninsula Stadium,M7 3PZ,Manchester,53.513743,-2.278354
Stevenage,The Lamex Stadium,SG2 8RH,Hertfordshire,51.890106,-0.194288
Stockport County,Edgeley Park,SK3 9DD,Cheshire,53.399922,-2.167127
Sutton United,VBS Community Stadium,SM1 2EY,Surrey,51.366501,-0.205338
Swindon Town,The County Ground,SN1 2ED,Wiltshire,51.564785,-1.769934
Tranmere Rovers,Prenton Park,CH42 9PY,Cheshire,53.373242,-3.035867
Walsall,Poundland Bescot Stadium,WS1 4SA,Birmingham,52.565519,-1.991164
Aldershot Town,EBB Stadium,GU11 1TW,Hampshire,51.248865,-0.755051
Altrincham,J Davidson Stadium,WA15 8AP,Cheshire,53.382975,-2.335214
Barnet,The Hive,HA8 6AG,Middlesex,51.601518,-0.288874
Boreham Wood,LV Bet Stadium,WD6 5AL,Hertfordshire,51.662119,-0.273709
Bromley,Hayes Lane,BR2 9EF,Kent,51.390984,0.01771
Chesterfield,Technique Stadium,S41 8NZ,Derbyshire,53.253614,-1.425003
Dagenham & Redbridge,Chigwell Construction Stadium,RM10 7XL,Essex,51.547377,0.162091
Dorking Wanderers,Meadowbank Stadium,RH4 1DX,Surrey,51.233759,-0.331673
Eastleigh,Silverlake Stadium,SO50 9HT,Hampshire,50.951278,-1.382523
FC Halifax Town,The Shay Stadium,HX1 2YT,West Riding,53.716057,-1.858319
Gateshead,International Stadium,NE10 0EF,Durham,54.960912,-1.580916
Maidenhead United,York Road,SL6 1SF,Berkshire & Buckinghamshire,51.520373,-0.719932
Maidstone United,The Gallagher Stadium,ME14 1LQ,Kent,51.279537,0.516728
Notts County,Meadow Lane Stadium,NG2 3HJ,Nottinghamshire,52.942243,-1.136105
Oldham Athletic,Boundary Park,OL1 2PA,Lancashire,53.554329,-2.127857
Scunthorpe United,Glanford Park,DN15 8TD,Lincolnshire,53.586699,-0.695968
Solihull Moors,ARMCO Arena,B92 9EJ,Birmingham,52.443142,-1.761698
Southend United,Roots Hall Football Stadium,SS2 6NQ,Essex,51.549265,0.702066
Torquay United,Plainmoor,TQ1 3PS,Devon,50.476813,-3.522448
Wealdstone,Grosvenor Vale,HA4 6JQ,Middlesex,51.569018,-0.419526
Woking,Laithwaite Community Stadium,GU22 9AA,Surrey,51.307554,-0.557933
Wrexham,Racecourse Ground,LL11 2AH,Wales,53.051259,-3.003854
Yeovil Town,Huish Park Stadium,BA22 8YF,Somerset,50.950221,-2.674717
York City,LNER Community Stadium,YO32 9AF,North Riding,53.983549,-1.051904
AFC Fylde,Mill Farm Stadium,PR4 3JZ,Lancashire,53.796563,-2.889212
AFC Telford United,New Bucks Head Stadium,TF1 2TU,Shropshire,52.697089,-2.502185
Alfreton Town,The Impact Arena,DE55 7FZ,Derbyshire,53.093804,-1.379768
Banbury United,The Banbury Plant Hire Community Stadium,OX16 5AB,Birmingham,52.059148,-1.326721
Blyth Spartans,Croft Park,NE24 3JE,Northumberland,55.120073,-1.51053
Boston United,Jakemans Community Stadium,PE21 7NE,Lincolnshire,52.955515,-0.030786
Brackley Town,St. James Park,NN13 7EJ,Northamptonshire,52.02523,-1.146971
Bradford (Park Avenue),Horsfall Stadium,BD6 2NG,West Riding,53.758404,-1.777895
Buxton,Tarmac Silverlands Stadium,SK17 6QH,Derbyshire,53.257067,-1.908344
Chester,Deva Stadium,CH1 4LT,Cheshire,53.192439,-2.916627
Chorley,Victory Park Stadium,PR7 3DU,Lancashire,53.647235,-2.629606
